Year;Region;Species;Code;TRW
1989;south;PINI;PINI10;0.696
1990;south;PINI;PINI10;1.195
1991;south;PINI;PINI10;0.767
1992;south;PINI;PINI10;1.084
1993;south;PINI;PINI10;1.013
1994;south;PINI;PINI10;0.921
1995;south;PINI;PINI10;1.041
1996;south;PINI;PINI10;1.152
1997;south;PINI;PINI10;1.465
1998;south;PINI;PINI10;1.164
1999;south;PINI;PINI10;0.716
1950;south;PINI;PINI09;0.921
1951;south;PINI;PINI09;0.739
1952;south;PINI;PINI09;1.153
1953;south;PINI;PINI09;1.083
1954;south;PINI;PINI09;0.923
1955;south;PINI;PINI09;1.102
1956;south;PINI;PINI09;1.088
1957;south;PINI;PINI09;1.087
1958;south;PINI;PINI09;1.167
1959;south;PINI;PINI09;1.183
1960;south;PINI;PINI09;0.964
1961;south;PINI;PINI09;1.165
1962;south;PINI;PINI09;0.916
1963;south;PINI;PINI09;0.74
1964;south;PINI;PINI09;1.082
1965;south;PINI;PINI09;0.904
1966;south;PINI;PINI09;0.934
1967;south;PINI;PINI09;1.119
1968;south;PINI;PINI09;1.032
1969;south;PINI;PINI09;0.917
1970;south;PINI;PINI09;1.046
1971;south;PINI;PINI09;0.935
1972;south;PINI;PINI09;0.76
1973;south;PINI;PINI09;1.238
1974;south;PINI;PINI09;0.908
1975;south;PINI;PINI09;0.804
1976;south;PINI;PINI09;1.089
1977;south;PINI;PINI09;1.412
1978;south;PINI;PINI09;1.275
1979;south;PINI;PINI09;1.016
1980;south;PINI;PINI09;1.219
1981;south;PINI;PINI09;0.528
1982;south;PINI;PINI09;0.854
1983;south;PINI;PINI09;1.008
1984;south;PINI;PINI09;1.008
1985;south;PINI;PINI09;1.112
1986;south;PINI;PINI09;0.887
1987;south;PINI;PINI09;0.967
1988;south;PINI;PINI09;1.075
1989;south;PINI;PINI09;0.867
1990;south;PINI;PINI09;1.17
1991;south;PINI;PINI09;0.657
1992;south;PINI;PINI09;1.07
1993;south;PINI;PINI09;1.271
1994;south;PINI;PINI09;1.232
1995;south;PINI;PINI09;1.089
1996;south;PINI;PINI09;0.983
1997;south;PINI;PINI09;1.325
1998;south;PINI;PINI09;1.12
1999;south;PINI;PINI09;0.588
1950;south;PINI;PINI08;0.95
1951;south;PINI;PINI08;0.787
1952;south;PINI;PINI08;0.862
1953;south;PINI;PINI08;1.028
1954;south;PINI;PINI08;0.975
1955;south;PINI;PINI08;1.002
1956;south;PINI;PINI08;1.116
1957;south;PINI;PINI08;1.011
1958;south;PINI;PINI08;1.115
1959;south;PINI;PINI08;0.864
1960;south;PINI;PINI08;0.924
1961;south;PINI;PINI08;1.185
1962;south;PINI;PINI08;1.042
1963;south;PINI;PINI08;0.697
1964;south;PINI;PINI08;1.017
1965;south;PINI;PINI08;0.832
1966;south;PINI;PINI08;1.004
1967;south;PINI;PINI08;0.955
1968;south;PINI;PINI08;0.773
1969;south;PINI;PINI08;1.054
1970;south;PINI;PINI08;1.028
1971;south;PINI;PINI08;0.888
1972;south;PINI;PINI08;0.825
1973;south;PINI;PINI08;1.031
1974;south;PINI;PINI08;0.769
1975;south;PINI;PINI08;1.118
1976;south;PINI;PINI08;1.248
1977;south;PINI;PINI08;1.388
1978;south;PINI;PINI08;1.068
1979;south;PINI;PINI08;0.955
1980;south;PINI;PINI08;1.318
1981;south;PINI;PINI08;1.029
1982;south;PINI;PINI08;0.982
1983;south;PINI;PINI08;1.011
1984;south;PINI;PINI08;0.963
1985;south;PINI;PINI08;0.899
1986;south;PINI;PINI08;0.872
1987;south;PINI;PINI08;0.802
1988;south;PINI;PINI08;1.141
1989;south;PINI;PINI08;1.003
1990;south;PINI;PINI08;1.202
1991;south;PINI;PINI08;0.655
1992;south;PINI;PINI08;0.96
1993;south;PINI;PINI08;1.089
1994;south;PINI;PINI08;1.03
1995;south;PINI;PINI08;0.937
1996;south;PINI;PINI08;1.011
1997;south;PINI;PINI08;1.366
1998;south;PINI;PINI08;0.949
1999;south;PINI;PINI08;0.804
1950;south;PINI;PINI07;0.603
1951;south;PINI;PINI07;0.932
1952;south;PINI;PINI07;1.085
1953;south;PINI;PINI07;0.817
1954;south;PINI;PINI07;0.992
1955;south;PINI;PINI07;0.916
1956;south;PINI;PINI07;0.819
1957;south;PINI;PINI07;1.092
1958;south;PINI;PINI07;1.129
1959;south;PINI;PINI07;1.194
1960;south;PINI;PINI07;1.201
1961;south;PINI;PINI07;0.663
1962;south;PINI;PINI07;0.733
1963;south;PINI;PINI07;0.881
1964;south;PINI;PINI07;0.977
1965;south;PINI;PINI07;0.575
1966;south;PINI;PINI07;1.087
1967;south;PINI;PINI07;0.96
1968;south;PINI;PINI07;1.036
1969;south;PINI;PINI07;1.086
1970;south;PINI;PINI07;1.365
1971;south;PINI;PINI07;0.761
1972;south;PINI;PINI07;0.906
1973;south;PINI;PINI07;1.111
1974;south;PINI;PINI07;0.451
1975;south;PINI;PINI07;1.144
1976;south;PINI;PINI07;0.988
1977;south;PINI;PINI07;1.331
1978;south;PINI;PINI07;1.026
1979;south;PINI;PINI07;1.068
1980;south;PINI;PINI07;1.238
1981;south;PINI;PINI07;0.791
1982;south;PINI;PINI07;1.041
1983;south;PINI;PINI07;0.989
1984;south;PINI;PINI07;0.838
1985;south;PINI;PINI07;1.284
1986;south;PINI;PINI07;0.834
1987;south;PINI;PINI07;0.787
1988;south;PINI;PINI07;1.032
1989;south;PINI;PINI07;1.309
1990;south;PINI;PINI07;1.422
1991;south;PINI;PINI07;0.384
1992;south;PINI;PINI07;1.063
1993;south;PINI;PINI07;0.873
1994;south;PINI;PINI07;0.807
1995;south;PINI;PINI07;0.936
1996;south;PINI;PINI07;1.065
1997;south;PINI;PINI07;1.226
1998;south;PINI;PINI07;1.069
1999;south;PINI;PINI07;0.636
1950;south;PINI;PINI11;0.93
1951;south;PINI;PINI11;0.886
1952;south;PINI;PINI11;1.21
1953;south;PINI;PINI11;1.119
1954;south;PINI;PINI11;1.14
1955;south;PINI;PINI11;1.16
1956;south;PINI;PINI11;1.036
1957;south;PINI;PINI11;1.134
1958;south;PINI;PINI11;1.163
1959;south;PINI;PINI11;0.986
1960;south;PINI;PINI11;0.892
1961;south;PINI;PINI11;0.928
1962;south;PINI;PINI11;0.745
1963;south;PINI;PINI11;0.793
1964;south;PINI;PINI11;1.292
1965;south;PINI;PINI11;0.772
1966;south;PINI;PINI11;0.898
1967;south;PINI;PINI11;0.86
1968;south;PINI;PINI11;1.094
1969;south;PINI;PINI11;0.951
1970;south;PINI;PINI11;1.136
1971;south;PINI;PINI11;0.922
1972;south;PINI;PINI11;0.949
1973;south;PINI;PINI11;1.271
1974;south;PINI;PINI11;0.975
1975;south;PINI;PINI11;0.916
1976;south;PINI;PINI11;1.15
1977;south;PINI;PINI11;1.371
1978;south;PINI;PINI11;1.072
1979;south;PINI;PINI11;0.795
1980;south;PINI;PINI11;1.215
1981;south;PINI;PINI11;0.871
1982;south;PINI;PINI11;0.72
1983;south;PINI;PINI11;1.034
1984;south;PINI;PINI11;0.754
1985;south;PINI;PINI11;0.932
1986;south;PINI;PINI11;0.688
1987;south;PINI;PINI11;0.711
1988;south;PINI;PINI11;0.919
1989;south;PINI;PINI11;0.924
1990;south;PINI;PINI11;1.265
1991;south;PINI;PINI11;1.101
1992;south;PINI;PINI11;1.319
1993;south;PINI;PINI11;1.054
1994;south;PINI;PINI11;0.902
1995;south;PINI;PINI11;0.951
1996;south;PINI;PINI11;1.099
1997;south;PINI;PINI11;1.4
1998;south;PINI;PINI11;0.989
1999;south;PINI;PINI11;0.739
1950;north;ABAL;ABAL10;0.883
1951;north;ABAL;ABAL10;1.121
1952;north;ABAL;ABAL10;1.226
1953;north;ABAL;ABAL10;0.977
1954;north;ABAL;ABAL10;1.022
1955;north;ABAL;ABAL10;1.119
1956;north;ABAL;ABAL10;0.977
1957;north;ABAL;ABAL10;0.877
1958;north;ABAL;ABAL10;0.896
1959;north;ABAL;ABAL10;1.172
1960;north;ABAL;ABAL10;1.065
1961;north;ABAL;ABAL10;0.988
1962;north;ABAL;ABAL10;1.071
1963;north;ABAL;ABAL10;0.876
1964;north;ABAL;ABAL10;1.134
1965;north;ABAL;ABAL10;0.798
1966;north;ABAL;ABAL10;1.164
1967;north;ABAL;ABAL10;0.866
1968;north;ABAL;ABAL10;0.983
1969;north;ABAL;ABAL10;1.033
1970;north;ABAL;ABAL10;1.046
1971;north;ABAL;ABAL10;0.946
1972;north;ABAL;ABAL10;0.935
1973;north;ABAL;ABAL10;1.024
1974;north;ABAL;ABAL10;0.855
1975;north;ABAL;ABAL10;1.091
1976;north;ABAL;ABAL10;1.089
1977;north;ABAL;ABAL10;1.113
1978;north;ABAL;ABAL10;1.005
1979;north;ABAL;ABAL10;0.903
1980;north;ABAL;ABAL10;0.984
1981;north;ABAL;ABAL10;0.789
1982;north;ABAL;ABAL10;0.985
1983;north;ABAL;ABAL10;0.907
1984;north;ABAL;ABAL10;0.892
1985;north;ABAL;ABAL10;1.139
1986;north;ABAL;ABAL10;0.756
1987;north;ABAL;ABAL10;1.135
1988;north;ABAL;ABAL10;1.069
1989;north;ABAL;ABAL10;0.791
1990;north;ABAL;ABAL10;0.94
1991;north;ABAL;ABAL10;1.041
1992;north;ABAL;ABAL10;1.148
1993;north;ABAL;ABAL10;1.114
1994;north;ABAL;ABAL10;1.085
1995;north;ABAL;ABAL10;0.731
1996;north;ABAL;ABAL10;1.207
1997;north;ABAL;ABAL10;1.146
1998;north;ABAL;ABAL10;1.032
1999;north;ABAL;ABAL10;0.751
1950;north;ABAL;ABAL09;1.02
1951;north;ABAL;ABAL09;1.026
1952;north;ABAL;ABAL09;1.072
1953;north;ABAL;ABAL09;1.078
1954;north;ABAL;ABAL09;1.008
1955;north;ABAL;ABAL09;1.178
1956;north;ABAL;ABAL09;0.865
1957;north;ABAL;ABAL09;0.914
1958;north;ABAL;ABAL09;0.91
1959;north;ABAL;ABAL09;1.163
1960;north;ABAL;ABAL09;1.096
1961;north;ABAL;ABAL09;1.035
1962;north;ABAL;ABAL09;0.965
1963;north;ABAL;ABAL09;0.982
1964;north;ABAL;ABAL09;1.146
1965;north;ABAL;ABAL09;0.842
1966;north;ABAL;ABAL09;1.018
1967;north;ABAL;ABAL09;1.075
1968;north;ABAL;ABAL09;0.952
1969;north;ABAL;ABAL09;1.107
1970;north;ABAL;ABAL09;1.052
1971;north;ABAL;ABAL09;0.728
1972;north;ABAL;ABAL09;1.023
1973;north;ABAL;ABAL09;1.09
1974;north;ABAL;ABAL09;0.957
1975;north;ABAL;ABAL09;1.081
1976;north;ABAL;ABAL09;1.201
1977;north;ABAL;ABAL09;1.046
1978;north;ABAL;ABAL09;1.056
1979;north;ABAL;ABAL09;0.858
1980;north;ABAL;ABAL09;0.83
1981;north;ABAL;ABAL09;1.094
1982;north;ABAL;ABAL09;1.018
1983;north;ABAL;ABAL09;1.027
1984;north;ABAL;ABAL09;0.687
1985;north;ABAL;ABAL09;1.335
1986;north;ABAL;ABAL09;0.665
1987;north;ABAL;ABAL09;1.07
1988;north;ABAL;ABAL09;0.961
1989;north;ABAL;ABAL09;1.073
1990;north;ABAL;ABAL09;1.099
1991;north;ABAL;ABAL09;0.866
1992;north;ABAL;ABAL09;1.107
1993;north;ABAL;ABAL09;1.015
1994;north;ABAL;ABAL09;0.809
1995;north;ABAL;ABAL09;0.965
1996;north;ABAL;ABAL09;1.076
1997;north;ABAL;ABAL09;1.019
1998;north;ABAL;ABAL09;0.995
1999;north;ABAL;ABAL09;1.047
1950;north;ABAL;ABAL07;0.872
1951;north;ABAL;ABAL07;0.964
1952;north;ABAL;ABAL07;1.123
1953;north;ABAL;ABAL07;1.096
1954;north;ABAL;ABAL07;0.951
1955;north;ABAL;ABAL07;0.886
1956;north;ABAL;ABAL07;0.825
1957;north;ABAL;ABAL07;0.87
1958;north;ABAL;ABAL07;1.111
1959;north;ABAL;ABAL07;1.081
1960;north;ABAL;ABAL07;1.072
1961;north;ABAL;ABAL07;1.315
1962;north;ABAL;ABAL07;0.912
1963;north;ABAL;ABAL07;0.936
1964;north;ABAL;ABAL07;1.21
1965;north;ABAL;ABAL07;0.893
1966;north;ABAL;ABAL07;1.146
1967;north;ABAL;ABAL07;0.95
1968;north;ABAL;ABAL07;1.001
1969;north;ABAL;ABAL07;1.07
1970;north;ABAL;ABAL07;0.955
1971;north;ABAL;ABAL07;0.996
1972;north;ABAL;ABAL07;0.928
1973;north;ABAL;ABAL07;1.062
1974;north;ABAL;ABAL07;0.965
1975;north;ABAL;ABAL07;1.042
1976;north;ABAL;ABAL07;1.108
1977;north;ABAL;ABAL07;1.21
1978;north;ABAL;ABAL07;1.125
1979;north;ABAL;ABAL07;0.899
1980;north;ABAL;ABAL07;1.094
1981;north;ABAL;ABAL07;0.713
1982;north;ABAL;ABAL07;0.765
1983;north;ABAL;ABAL07;0.85
1984;north;ABAL;ABAL07;0.917
1985;north;ABAL;ABAL07;1.161
1986;north;ABAL;ABAL07;0.597
1987;north;ABAL;ABAL07;0.839
1988;north;ABAL;ABAL07;1.21
1989;north;ABAL;ABAL07;0.933
1990;north;ABAL;ABAL07;1.156
1991;north;ABAL;ABAL07;0.639
1992;north;ABAL;ABAL07;0.975
1993;north;ABAL;ABAL07;1.233
1994;north;ABAL;ABAL07;0.962
1995;north;ABAL;ABAL07;0.932
1996;north;ABAL;ABAL07;1.026
1997;north;ABAL;ABAL07;1.22
1998;north;ABAL;ABAL07;0.972
1999;north;ABAL;ABAL07;1.037
1950;north;ABAL;ABAL08;0.91
1951;north;ABAL;ABAL08;1.054
1952;north;ABAL;ABAL08;1.113
1953;north;ABAL;ABAL08;1.013
1954;north;ABAL;ABAL08;0.949
1955;north;ABAL;ABAL08;1.056
1956;north;ABAL;ABAL08;1.031
1957;north;ABAL;ABAL08;0.91
1958;north;ABAL;ABAL08;0.736
1959;north;ABAL;ABAL08;0.938
1960;north;ABAL;ABAL08;1.153
1961;north;ABAL;ABAL08;1.025
1962;north;ABAL;ABAL08;0.92
1963;north;ABAL;ABAL08;0.811
1964;north;ABAL;ABAL08;1.231
1965;north;ABAL;ABAL08;0.925
1966;north;ABAL;ABAL08;1.148
1967;north;ABAL;ABAL08;0.977
1968;north;ABAL;ABAL08;0.983
1969;north;ABAL;ABAL08;1.079
1970;north;ABAL;ABAL08;1.065
1971;north;ABAL;ABAL08;0.799
1972;north;ABAL;ABAL08;0.935
1973;north;ABAL;ABAL08;0.934
1974;north;ABAL;ABAL08;0.986
1975;north;ABAL;ABAL08;1.078
1976;north;ABAL;ABAL08;1.232
1977;north;ABAL;ABAL08;1.153
1978;north;ABAL;ABAL08;0.764
1979;north;ABAL;ABAL08;0.895
1980;north;ABAL;ABAL08;0.995
1981;north;ABAL;ABAL08;0.988
1982;north;ABAL;ABAL08;0.963
1983;north;ABAL;ABAL08;1.105
1984;north;ABAL;ABAL08;0.829
1985;north;ABAL;ABAL08;1.224
1986;north;ABAL;ABAL08;0.875
1987;north;ABAL;ABAL08;1.007
1988;north;ABAL;ABAL08;0.908
1989;north;ABAL;ABAL08;1.082
1990;north;ABAL;ABAL08;1.205
1991;north;ABAL;ABAL08;0.881
1992;north;ABAL;ABAL08;1.046
1993;north;ABAL;ABAL08;1.24
1994;north;ABAL;ABAL08;0.828
1995;north;ABAL;ABAL08;0.853
1996;north;ABAL;ABAL08;1.191
1997;north;ABAL;ABAL08;1.178
1998;north;ABAL;ABAL08;0.908
1999;north;ABAL;ABAL08;0.979
1950;north;ABAL;ABAL06;0.855
1951;north;ABAL;ABAL06;1.078
1952;north;ABAL;ABAL06;1.053
1953;north;ABAL;ABAL06;1.077
1954;north;ABAL;ABAL06;1.016
1955;north;ABAL;ABAL06;1.035
1956;north;ABAL;ABAL06;0.918
1957;north;ABAL;ABAL06;0.906
1958;north;ABAL;ABAL06;0.968
1959;north;ABAL;ABAL06;1.05
1960;north;ABAL;ABAL06;0.995
1961;north;ABAL;ABAL06;1.048
1962;north;ABAL;ABAL06;0.927
1963;north;ABAL;ABAL06;0.83
1964;north;ABAL;ABAL06;1.171
1965;north;ABAL;ABAL06;0.924
1966;north;ABAL;ABAL06;1.162
1967;north;ABAL;ABAL06;0.987
1968;north;ABAL;ABAL06;0.922
1969;north;ABAL;ABAL06;0.927
1970;north;ABAL;ABAL06;1.003
1971;north;ABAL;ABAL06;1.029
1972;north;ABAL;ABAL06;0.986
1973;north;ABAL;ABAL06;1.148
1974;north;ABAL;ABAL06;0.97
1975;north;ABAL;ABAL06;0.997
1976;north;ABAL;ABAL06;1.087
1977;north;ABAL;ABAL06;1.062
1978;north;ABAL;ABAL06;1.046
1979;north;ABAL;ABAL06;0.987
1980;north;ABAL;ABAL06;1.062
1981;north;ABAL;ABAL06;0.811
1982;north;ABAL;ABAL06;0.854
1983;north;ABAL;ABAL06;1.054
1984;north;ABAL;ABAL06;0.927
1985;north;ABAL;ABAL06;1.199
1986;north;ABAL;ABAL06;0.632
1987;north;ABAL;ABAL06;1.075
1988;north;ABAL;ABAL06;0.952
1989;north;ABAL;ABAL06;0.984
1990;north;ABAL;ABAL06;1.076
1991;north;ABAL;ABAL06;0.99
1992;north;ABAL;ABAL06;1.061
1993;north;ABAL;ABAL06;1.313
1994;north;ABAL;ABAL06;0.931
1995;north;ABAL;ABAL06;0.92
1996;north;ABAL;ABAL06;1.255
1997;north;ABAL;ABAL06;1.169
1998;north;ABAL;ABAL06;0.812
1999;north;ABAL;ABAL06;0.899
1950;north;ABAL;ABAL05;0.869
1951;north;ABAL;ABAL05;0.876
1952;north;ABAL;ABAL05;1.012
1953;north;ABAL;ABAL05;1.21
1954;north;ABAL;ABAL05;0.961
1955;north;ABAL;ABAL05;0.958
1956;north;ABAL;ABAL05;0.883
1957;north;ABAL;ABAL05;1.06
1958;north;ABAL;ABAL05;1.025
1959;north;ABAL;ABAL05;1.073
1960;north;ABAL;ABAL05;1.014
1961;north;ABAL;ABAL05;1.178
1962;north;ABAL;ABAL05;0.776
1963;north;ABAL;ABAL05;1.028
1964;north;ABAL;ABAL05;1.307
1965;north;ABAL;ABAL05;0.708
1966;north;ABAL;ABAL05;1.136
1967;north;ABAL;ABAL05;0.865
1968;north;ABAL;ABAL05;0.781
1969;north;ABAL;ABAL05;1.029
1970;north;ABAL;ABAL05;0.976
1971;north;ABAL;ABAL05;1.025
1972;north;ABAL;ABAL05;1.077
1973;north;ABAL;ABAL05;1.073
1974;north;ABAL;ABAL05;0.997
1975;north;ABAL;ABAL05;1.104
1976;north;ABAL;ABAL05;1.197
1977;north;ABAL;ABAL05;1.097
1978;north;ABAL;ABAL05;0.949
1979;north;ABAL;ABAL05;0.91
1980;north;ABAL;ABAL05;1.007
1981;north;ABAL;ABAL05;0.917
1982;north;ABAL;ABAL05;0.879
1983;north;ABAL;ABAL05;0.897
1984;north;ABAL;ABAL05;0.915
1985;north;ABAL;ABAL05;1.261
1986;north;ABAL;ABAL05;0.62
1987;north;ABAL;ABAL05;0.856
1988;north;ABAL;ABAL05;0.946
1989;north;ABAL;ABAL05;0.986
1990;north;ABAL;ABAL05;1.232
1991;north;ABAL;ABAL05;0.897
1992;north;ABAL;ABAL05;1.21
1993;north;ABAL;ABAL05;1.336
1994;north;ABAL;ABAL05;0.984
1995;north;ABAL;ABAL05;0.923
1996;north;ABAL;ABAL05;0.866
1997;north;ABAL;ABAL05;0.856
1998;north;ABAL;ABAL05;0.859
1999;north;ABAL;ABAL05;1.023
1950;north;ABAL;ABAL04;0.978
1951;north;ABAL;ABAL04;0.971
1952;north;ABAL;ABAL04;0.978
1953;north;ABAL;ABAL04;1.125
1954;north;ABAL;ABAL04;0.96
1955;north;ABAL;ABAL04;1.01
1956;north;ABAL;ABAL04;0.918
1957;north;ABAL;ABAL04;0.871
1958;north;ABAL;ABAL04;1.034
1959;north;ABAL;ABAL04;1.065
1960;north;ABAL;ABAL04;1.013
1961;north;ABAL;ABAL04;0.96
1962;north;ABAL;ABAL04;0.974
1963;north;ABAL;ABAL04;0.834
1964;north;ABAL;ABAL04;1.11
1965;north;ABAL;ABAL04;0.921
1966;north;ABAL;ABAL04;1.036
1967;north;ABAL;ABAL04;1.061
1968;north;ABAL;ABAL04;1.05
1969;north;ABAL;ABAL04;1.167
1970;north;ABAL;ABAL04;0.991
1971;north;ABAL;ABAL04;0.839
1972;north;ABAL;ABAL04;0.939
1973;north;ABAL;ABAL04;0.945
1974;north;ABAL;ABAL04;0.989
1975;north;ABAL;ABAL04;1.052
1976;north;ABAL;ABAL04;1.112
1977;north;ABAL;ABAL04;0.992
1978;north;ABAL;ABAL04;0.986
1979;north;ABAL;ABAL04;1.02
1980;north;ABAL;ABAL04;1.04
1981;north;ABAL;ABAL04;0.823
1982;north;ABAL;ABAL04;0.976
1983;north;ABAL;ABAL04;1.089
1984;north;ABAL;ABAL04;0.905
1985;north;ABAL;ABAL04;1.161
1986;north;ABAL;ABAL04;0.805
1987;north;ABAL;ABAL04;0.979
1988;north;ABAL;ABAL04;0.906
1989;north;ABAL;ABAL04;1.043
1990;north;ABAL;ABAL04;1.003
1991;north;ABAL;ABAL04;0.989
1992;north;ABAL;ABAL04;1.106
1993;north;ABAL;ABAL04;1.221
1994;north;ABAL;ABAL04;0.928
1995;north;ABAL;ABAL04;0.969
1996;north;ABAL;ABAL04;0.961
1997;north;ABAL;ABAL04;0.982
1998;north;ABAL;ABAL04;0.996
1999;north;ABAL;ABAL04;0.932
1950;north;ABAL;ABAL03;0.933
1951;north;ABAL;ABAL03;0.834
1952;north;ABAL;ABAL03;0.923
1953;north;ABAL;ABAL03;0.968
1954;north;ABAL;ABAL03;1.018
1955;north;ABAL;ABAL03;0.894
1956;north;ABAL;ABAL03;0.834
1957;north;ABAL;ABAL03;1.07
1958;north;ABAL;ABAL03;1.055
1959;north;ABAL;ABAL03;1.243
1960;north;ABAL;ABAL03;1.207
1961;north;ABAL;ABAL03;1.148
1962;north;ABAL;ABAL03;0.998
1963;north;ABAL;ABAL03;1.025
1964;north;ABAL;ABAL03;1.225
1965;north;ABAL;ABAL03;0.878
1966;north;ABAL;ABAL03;1.035
1967;north;ABAL;ABAL03;0.908
1968;north;ABAL;ABAL03;0.965
1969;north;ABAL;ABAL03;1.034
1970;north;ABAL;ABAL03;1.003
1971;north;ABAL;ABAL03;0.928
1972;north;ABAL;ABAL03;0.95
1973;north;ABAL;ABAL03;1.118
1974;north;ABAL;ABAL03;1.058
1975;north;ABAL;ABAL03;0.937
1976;north;ABAL;ABAL03;0.944
1977;north;ABAL;ABAL03;1.052
1978;north;ABAL;ABAL03;1.055
1979;north;ABAL;ABAL03;1.036
1980;north;ABAL;ABAL03;0.969
1981;north;ABAL;ABAL03;0.934
1982;north;ABAL;ABAL03;1.027
1983;north;ABAL;ABAL03;1.217
1984;north;ABAL;ABAL03;0.897
1985;north;ABAL;ABAL03;1.121
1986;north;ABAL;ABAL03;0.761
1987;north;ABAL;ABAL03;1.054
1988;north;ABAL;ABAL03;1.007
1989;north;ABAL;ABAL03;0.927
1990;north;ABAL;ABAL03;1.097
1991;north;ABAL;ABAL03;0.834
1992;north;ABAL;ABAL03;0.943
1993;north;ABAL;ABAL03;1.101
1994;north;ABAL;ABAL03;1.136
1995;north;ABAL;ABAL03;0.897
1996;north;ABAL;ABAL03;1.021
1997;north;ABAL;ABAL03;1.025
1998;north;ABAL;ABAL03;0.957
1999;north;ABAL;ABAL03;0.992
1950;north;ABAL;ABAL02;0.915
1951;north;ABAL;ABAL02;1.037
1952;north;ABAL;ABAL02;1.177
1953;north;ABAL;ABAL02;1.064
1954;north;ABAL;ABAL02;0.946
1955;north;ABAL;ABAL02;1.054
1956;north;ABAL;ABAL02;0.973
1957;north;ABAL;ABAL02;0.975
1958;north;ABAL;ABAL02;0.968
1959;north;ABAL;ABAL02;1.094
1960;north;ABAL;ABAL02;1.033
1961;north;ABAL;ABAL02;1.053
1962;north;ABAL;ABAL02;0.906
1963;north;ABAL;ABAL02;0.84
1964;north;ABAL;ABAL02;1.122
1965;north;ABAL;ABAL02;0.888
1966;north;ABAL;ABAL02;1.141
1967;north;ABAL;ABAL02;0.979
1968;north;ABAL;ABAL02;0.876
1969;north;ABAL;ABAL02;0.856
1970;north;ABAL;ABAL02;0.987
1971;north;ABAL;ABAL02;0.944
1972;north;ABAL;ABAL02;1.023
1973;north;ABAL;ABAL02;1.156
1974;north;ABAL;ABAL02;0.976
1975;north;ABAL;ABAL02;1.086
1976;north;ABAL;ABAL02;1.153
1977;north;ABAL;ABAL02;1.121
1978;north;ABAL;ABAL02;1.078
1979;north;ABAL;ABAL02;0.839
1980;north;ABAL;ABAL02;0.637
1981;north;ABAL;ABAL02;0.814
1982;north;ABAL;ABAL02;0.91
1983;north;ABAL;ABAL02;1.141
1984;north;ABAL;ABAL02;0.918
1985;north;ABAL;ABAL02;1.133
1986;north;ABAL;ABAL02;0.839
1987;north;ABAL;ABAL02;1.042
1988;north;ABAL;ABAL02;1.058
1989;north;ABAL;ABAL02;0.953
1990;north;ABAL;ABAL02;1.002
1991;north;ABAL;ABAL02;0.855
1992;north;ABAL;ABAL02;0.949
1993;north;ABAL;ABAL02;1.146
1994;north;ABAL;ABAL02;1.038
1995;north;ABAL;ABAL02;0.928
1996;north;ABAL;ABAL02;1.104
1997;north;ABAL;ABAL02;1.052
1998;north;ABAL;ABAL02;0.998
1999;north;ABAL;ABAL02;0.971
1950;north;ABAL;ABAL01;0.882
1951;north;ABAL;ABAL01;0.971
1952;north;ABAL;ABAL01;1.23
1953;north;ABAL;ABAL01;1.023
1954;north;ABAL;ABAL01;0.999
1955;north;ABAL;ABAL01;1.108
1956;north;ABAL;ABAL01;0.829
1957;north;ABAL;ABAL01;1.017
1958;north;ABAL;ABAL01;1.026
1959;north;ABAL;ABAL01;1.09
1960;north;ABAL;ABAL01;0.948
1961;north;ABAL;ABAL01;1.11
1962;north;ABAL;ABAL01;0.892
1963;north;ABAL;ABAL01;0.918
1964;north;ABAL;ABAL01;1.097
1965;north;ABAL;ABAL01;0.772
1966;north;ABAL;ABAL01;1.149
1967;north;ABAL;ABAL01;1.024
1968;north;ABAL;ABAL01;0.964
1969;north;ABAL;ABAL01;0.98
1970;north;ABAL;ABAL01;1.015
1971;north;ABAL;ABAL01;1.038
1972;north;ABAL;ABAL01;0.95
1973;north;ABAL;ABAL01;1.054
1974;north;ABAL;ABAL01;0.961
1975;north;ABAL;ABAL01;1.045
1976;north;ABAL;ABAL01;0.994
1977;north;ABAL;ABAL01;0.908
1978;north;ABAL;ABAL01;1.026
1979;north;ABAL;ABAL01;0.933
1980;north;ABAL;ABAL01;1.063
1981;north;ABAL;ABAL01;0.944
1982;north;ABAL;ABAL01;0.947
1983;north;ABAL;ABAL01;1.151
1984;north;ABAL;ABAL01;0.798
1985;north;ABAL;ABAL01;1.217
1986;north;ABAL;ABAL01;0.695
1987;north;ABAL;ABAL01;1.068
1988;north;ABAL;ABAL01;1.042
1989;north;ABAL;ABAL01;0.919
1990;north;ABAL;ABAL01;0.981
1991;north;ABAL;ABAL01;0.867
1992;north;ABAL;ABAL01;1
1993;north;ABAL;ABAL01;1.279
1994;north;ABAL;ABAL01;0.976
1995;north;ABAL;ABAL01;0.937
1996;north;ABAL;ABAL01;1.051
1997;north;ABAL;ABAL01;1.141
1998;north;ABAL;ABAL01;0.979
1999;north;ABAL;ABAL01;0.824
